lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
1529.23499     0.00021     0.00284     0.00000     0.00000
1532.68434     0.00021     0.00284     0.00000     0.00000
1536.71544     0.00021     0.00284     0.00000     0.00000
1540.63854     0.00021     0.00284     0.00000     0.00000
1544.25411     0.00021     0.00284     0.00000     0.00000
1547.87588     0.00021     0.00284     0.00000     0.00000
1551.48872     0.00021     0.00284     0.00000     0.00000
1555.38034     0.00021     0.00284     0.00000     0.00000
1559.80539     0.00021     0.00284     0.00000     0.00000
1562.88588     0.00021     0.00284     0.00000     0.00000
1567.11816     0.00021     0.00284     0.00000     0.00000
1571.19309     0.00021     0.00284     0.00000     0.00000
1574.97852     0.00021     0.00284     0.00000     0.00000
1579.04426     0.00021     0.00284     0.00000     0.00000
1582.80625     0.00021     0.00284     0.00000     0.00000
1585.48853     0.00021     0.00284     0.00000     0.00000
1588.66765     0.00021     0.00284     0.00000     0.00000
1593.35631     0.00021     0.00284     0.00000     0.00000
1596.58391     0.00021     0.00284     0.00000     0.00000
1601.90001     0.00021     0.00284     0.00000     0.00000
1606.05619     0.00021     0.00284     0.00000     0.00000
1610.01509     0.00021     0.00284     0.00000     0.00000
1612.75792     0.00021     0.00284     0.00000     0.00000
1616.73463     0.00021     0.00284     0.00000     0.00000
1620.27813     0.00021     0.00284     0.00000     0.00000
1623.62361     0.00021     0.00284     0.00000     0.00000
1627.30015     0.00021     0.00284     0.00000     0.00000
1631.83149     0.00021     0.00284     0.00000     0.00000
1635.48650     0.00021     0.00284     0.00000     0.00000
1639.92950     0.00021     0.00284     0.00000     0.00000
1643.42551     0.00021     0.00284     0.00000     0.00000
1647.14704     0.00021     0.00284     0.00000     0.00000
1651.00194     0.00021     0.00284     0.00000     0.00000
1654.91627     0.00021     0.00284     0.00000     0.00000
1658.57835     0.00021     0.00284     0.00000     0.00000
1662.62283     0.00021     0.00284     0.00000     0.00000
1666.57828     0.00021     0.00284     0.00000     0.00000
1670.51517     0.00021     0.00284     0.00000     0.00000
1674.49324     0.00021     0.00284     0.00000     0.00000
1677.85609     0.00021     0.00284     0.00000     0.00000
1681.81832     0.00021     0.00284     0.00000     0.00000
1686.03679     0.00021     0.00284     0.00000     0.00000
1689.90699     0.00021     0.00284     0.00000     0.00000
1693.80194     0.00021     0.00284     0.00000     0.00000
1697.99053     0.00021     0.00284     0.00000     0.00000
1701.72979     0.00021     0.00284     0.00000     0.00000
1706.31143     0.00021     0.00284     0.00000     0.00000
1709.97755     0.00021     0.00284     0.00000     0.00000
1713.04460     0.00021     0.00284     0.00000     0.00000
1716.54186     0.00021     0.00284     0.00000     0.00000
1720.43957     0.00021     0.00284     0.00000     0.00000
1724.77133     0.00021     0.00284     0.00000     0.00000
1728.72835     0.00021     0.00284     0.00000     0.00000
1733.24714     0.00021     0.00284     0.00000     0.00000
1736.56051     0.00021     0.00284     0.00000     0.00000
1740.47941     0.00021     0.00284     0.00000     0.00000
1744.35638     0.00021     0.00284     0.00000     0.00000
1747.56564     0.00021     0.00284     0.00000     0.00000
1751.52490     0.00021     0.00284     0.00000     0.00000
1755.76905     0.00021     0.00284     0.00000     0.00000
1760.27648     0.00021     0.00284     0.00000     0.00000
1763.49132     0.00021     0.00284     0.00000     0.00000
1767.50723     0.00021     0.00284     0.00000     0.00000
1771.31012     0.00021     0.00284     0.00000     0.00000
1775.95877     0.00021     0.00284     0.00000     0.00000
1779.84813     0.00021     0.00284     0.00000     0.00000
1783.64807     0.00021     0.00284     0.00000     0.00000
1786.69889     0.00021     0.00284     0.00000     0.00000
1790.40999     0.00021     0.00284     0.00000     0.00000
1793.02452     0.00021     0.00284     0.00000     0.00000
1796.95911     0.00021     0.00284     0.00000     0.00000
1801.28028     0.00021     0.00284     0.00000     0.00000
1805.24188     0.00021     0.00284     0.00000     0.00000
1808.75317     0.00021     0.00284     0.00000     0.00000
1812.71186     0.00021     0.00284     0.00000     0.00000
1816.73152     0.00021     0.00284     0.00000     0.00000
1821.04952     0.00021     0.00284     0.00000     0.00000
1825.12388     0.00021     0.00284     0.00000     0.00000
1829.24325     0.00021     0.00284     0.00000     0.00000
1832.96646     0.00021     0.00284     0.00000     0.00000
1836.80000     0.00021     0.00284     0.00000     0.00000
1841.49743     0.00021     0.00284     0.00000     0.00000
1845.38878     0.00021     0.00284     0.00000     0.00000
1848.85598     0.00021     0.00284     0.00000     0.00000
1853.39341     0.00021     0.00284     0.00000     0.00000
1857.38581     0.00021     0.00284     0.00000     0.00000
1861.18069     0.00021     0.00284     0.00000     0.00000
1865.10171     0.00021     0.00284     0.00000     0.00000
